Term,Year,Code,Area,Students,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Proficient
SP,23,0,1,31,30,28,14,17,21,15,29,19
SP,23,0,1,,,,,,,,,
SP,23,21,1,20,12,13,8,12,14,9,18,10
SP,23,21,1,11,11,11,6,6,9,7,10,9
SP,23,22,1,16,15,16,8,12,11,9,13,12
SP,23,22,1,14,14,13,10,4,9,9,13,11
SP,23,22,1,20,19,20,17,14,14,17,20,20
SP,23,28,1,4,3,4,2,1,3,2,,2
SP,23,0,2,31,26,23,27,23,22,18,24,23
SP,23,0,2,,,,,,,,,
SP,23,21,2,20,18,9,18,17,14,9,17,15
SP,23,21,2,11,8,9,11,11,11,10,10,11
SP,23,22,2,16,16,13,15,8,11,6,10,11
SP,23,22,2,14,13,11,13,13,8,13,13,13
SP,23,22,2,20,19,15,20,19,17,17,17,19
SP,23,28,2,4,3,1,3,3,33,2,,2
SP,23,0,3,31,24,20,19,29,28,16,14,20
SP,23,0,3,,,,,,,,,
SP,23,21,3,20,14,8,5,10,14,3,12,3
SP,23,21,3,11,8,8,3,8,11,5,8,6
SP,23,22,3,16,11,10,11,12,14,7,14,8
SP,23,22,3,14,12,10,8,11,11,7,8,9
SP,23,22,3,20,19,12,10,17,18,17,17,16
SP,23,28,3,4,2,2,2,2,2,1,2,0
SP,23,0,4,31,23,20,20,28,17,21,24,20
SP,23,0,4,,,,,,,,,
SP,23,21,4,20,13,9,8,18,10,16,8,9
SP,23,21,4,11,11,9,10,11,10,9,9,11
SP,23,22,4,16,13,9,8,16,14,11,11,13
SP,23,22,4,14,11,8,9,13,11,11,12,11
SP,23,22,4,20,16,14,14,19,19,16,18,18
SP,23,28,4,4,4,2,3,4,2,2,1,3
SP,23,0,5,31,28,19,15,23,13,23,13,14
SP,23,0,5,,,,,,,,,
SP,23,21,5,20,14,9,16,16,14,15,4,9
SP,23,21,5,11,10,9,8,10,8,10,6,9
SP,23,22,5,16,14,13,7,14,6,7,8,7
SP,23,22,5,14,11,9,6,13,10,5,10,5
SP,23,22,5,20,18,16,11,20,14,12,18,16
SP,23,28,5,4,3,3,0,2,0,0,0,0
FA,22,0,1,28,26,27,16,12,17,16,23,19
FA,22,0,1,7,5,5,3,3,5,4,6,4
FA,22,0,1,18,18,16,11,10,10,7,17,9
FA,22,41,1,18,16,18,11,12,17,11,18,16
FA,22,41,1,2,2,2,1,1,1,2,2,1
FA,22,42,1,10,9,10,9,9,6,4,9,7
FA,22,42,1,10,8,10,7,7,8,6,10,9
FA,22,42,1,9,9,8,8,7,8,7,9,9
FA,22,42,1,9,9,9,8,7,8,5,8,9
FA,22,0,2,28,26,25,23,21,18,11,25,20
FA,22,0,2,7,5,4,6,6,4,3,5,4
FA,22,0,2,18,16,13,13,7,10,5,11,9
FA,22,41,2,18,17,17,16,15,14,11,14,16
FA,22,41,2,2,1,2,2,2,1,1,2,2
FA,22,42,2,10,10,7,10,7,6,8,6,8
FA,22,42,2,10,10,9,10,9,7,7,8,10
FA,22,42,2,9,8,6,9,4,9,8,7,9
FA,22,42,2,9,8,7,8,6,8,6,5,7
FA,22,0,3,28,21,19,15,22,20,10,17,16
FA,22,0,3,7,6,2,1,5,7,2,5,2
FA,22,0,3,18,12,6,13,16,14,7,10,7
FA,22,41,3,18,16,15,10,17,16,7,12,13
FA,22,41,3,2,1,2,1,2,2,1,1,1
FA,22,42,3,10,8,9,3,8,8,5,6,6
FA,22,42,3,10,6,6,7,7,9,5,6,6
FA,22,42,3,9,9,8,5,8,7,2,7,6
FA,22,42,3,9,7,6,5,5,8,4,9,6
FA,22,0,4,28,18,16,12,22,18,18,19,13
FA,22,0,4,7,4,4,3,6,4,3,5,3
FA,22,0,4,18,9,13,8,17,9,15,13,10
FA,22,41,4,18,16,14,15,16,11,13,12,13
FA,22,41,4,2,2,1,1,2,1,2,2,1
FA,22,42,4,10,7,5,8,10,7,6,9,8
FA,22,42,4,10,7,6,7,8,7,7,8,6
FA,22,42,4,9,8,6,5,7,6,7,8,6
FA,22,42,4,9,6,6,4,9,9,6,6,5
FA,22,0,5,28,22,20,12,21,6,14,11,12
FA,22,0,5,7,7,5,4,6,2,4,4,4
FA,22,0,5,18,14,12,6,12,4,8,6,3
FA,22,41,5,18,16,15,10,17,12,9,8,10
FA,22,41,5,2,2,1,2,2,0,1,0,1
FA,22,42,5,10,9,7,6,10,5,9,6,8
FA,22,42,5,10,10,8,5,10,8,8,5,8
FA,22,42,5,9,6,5,4,9,3,7,6,4
FA,22,42,5,9,9,7,2,9,3,8,4,4
SP,22,0,1,54,50,52,29,36,37,25,48,38
SP,22,0,1,11,9,11,9,8,6,5,11,8
SP,22,21,1,16,16,13,8,7,12,8,14,10
SP,22,21,1,5,4,5,4,5,3,4,5,4
SP,22,21,1,8,7,5,5,5,6,5,7,5
SP,22,21,1,,,,,,,,,
SP,22,22,1,12,11,12,7,10,5,7,9,8
SP,22,22,1,21,19,21,17,13,12,11,17,17
SP,22,22,1,12,11,11,10,7,4,10,11,9
SP,22,42,1,7,7,7,4,5,5,4,6,6
SP,22,0,2,54,48,45,48,38,37,23,50,41
SP,22,0,2,11,9,8,10,6,11,9,10,10
SP,22,21,2,16,15,11,14,14,14,8,14,13
SP,22,21,2,5,5,4,5,4,3,4,5,4
SP,22,21,2,8,7,3,7,7,6,4,8,6
SP,22,21,2,,,,,,,,,
SP,22,22,2,12,11,8,12,6,8,4,11,8
SP,22,22,2,21,20,15,19,16,14,17,14,15
SP,22,22,2,12,12,9,12,12,9,9,10,12
SP,22,42,2,7,7,6,6,7,6,5,4,7
SP,22,0,3,54,45,34,34,44,39,19,35,30
SP,22,0,3,11,11,9,7,9,10,6,10,8
SP,22,21,3,16,10,10,8,11,13,5,6,6
SP,22,21,3,5,4,4,4,3,5,1,3,3
SP,22,21,3,8,6,3,2,2,6,2,5,2
SP,22,21,3,,,,,,,,,
SP,22,22,3,12,10,6,6,8,10,6,9,6
SP,22,22,3,21,18,10,12,15,19,12,17,14
SP,22,22,3,12,9,8,7,11,12,5,8,6
SP,22,42,3,7,7,2,6,3,7,2,5,4
SP,22,0,4,54,37,38,32,49,33,31,39,35
SP,22,0,4,11,10,9,7,11,8,9,9,9
SP,22,21,4,16,12,13,8,15,6,10,11,10
SP,22,21,4,5,5,4,5,4,5,5,4,5
SP,22,21,4,8,6,4,2,8,7,6,5,4
SP,22,21,4,,,,,,,,,
SP,22,22,4,12,9,10,6,12,7,7,8,7
SP,22,22,4,21,16,14,15,21,19,19,19,17
SP,22,22,4,12,11,8,9,12,11,11,10,11
SP,22,42,4,7,7,7,6,7,5,7,5,7
SP,22,0,5,54,48,43,32,35,33,29,24,25
SP,22,0,5,11,10,9,4,8,5,8,5,7
SP,22,21,5,16,14,11,3,10,11,6,8,4
SP,22,21,5,5,5,4,4,4,1,4,5,4
SP,22,21,5,8,5,6,6,7,2,5,2,4
SP,22,21,5,,,,,,,,,
SP,22,22,5,12,10,10,4,11,3,12,7,10
SP,22,22,5,21,19,16,11,16,11,13,14,11
SP,22,22,5,12,12,10,5,12,5,9,5,7
SP,22,42,5,7,6,5,5,7,4,6,6,6
FA,21,0,1,62,53,56,23,38,43,31,54,36
FA,21,0,1,18,10,7,6,10,6,6,16,4
FA,21,0,1,19,13,14,13,9,7,14,14,
FA,21,41,1,19,13,12,4,12,8,9,15,7
FA,21,42,1,11,11,8,6,4,5,4,8,4
FA,21,42,1,6,6,6,3,4,2,4,5,5
FA,21,42,1,8,8,8,6,4,8,7,8,8
FA,21,42,1,12,11,12,10,9,6,10,11,9
FA,21,0,2,62,59,49,48,37,38,32,49,43
FA,21,0,2,18,17,8,3,11,9,10,12,6
FA,21,0,2,,,,,,,,,
FA,21,41,2,19,15,8,13,9,13,6,8,8
FA,21,42,2,11,9,5,10,8,7,4,7,7
FA,21,42,2,6,6,5,6,3,4,4,4,6
FA,21,42,2,8,8,5,7,5,5,7,8,5
FA,21,42,2,12,12,8,11,10,11,9,9,11
FA,21,0,3,62,47,32,40,53,49,20,36,31
FA,21,0,3,18,8,4,11,6,3,6,12,3
FA,21,0,3,19,10,7,11,18,10,,,
FA,21,41,3,19,12,8,7,9,11,9,5,2
FA,21,42,3,11,7,4,9,8,9,5,6,6
FA,21,42,3,6,4,3,4,6,4,3,3,2
FA,21,42,3,8,7,4,6,5,8,2,7,6
FA,21,42,3,12,10,6,5,7,10,6,10,6
FA,21,0,4,62,38,40,31,54,31,38,40,31
FA,21,0,4,18,12,10,7,14,9,9,13,8
FA,21,0,4,,,,,,,,,
FA,21,41,4,19,11,10,11,14,11,16,12,9
FA,21,42,4,11,10,6,6,10,10,7,8,7
FA,21,42,4,6,6,4,4,6,3,5,6,5
FA,21,42,4,8,7,7,7,8,7,8,7,8
FA,21,42,4,12,9,5,9,10,10,11,10,9
FA,21,0,5,62,47,41,21,42,25,38,31,23
FA,21,0,5,18,12,12,6,8,4,8,7,2
FA,21,0,5,,,,,,,,,
FA,21,41,5,19,12,12,10,12,3,10,7,5
FA,21,42,5,11,9,5,4,9,5,8,2,4
FA,21,42,5,6,5,5,4,6,2,5,3,3
FA,21,42,5,8,5,4,5,8,4,8,5,4
FA,21,42,5,12,10,11,8,11,6,11,4,9
FA,19,0,1,24,19,23,13,15,11,9,19,10
FA,19,21,1,30,26,28,11,17,15,15,27,19
FA,19,21,1,11,10,8,5,8,4,4,9,6
FA,19,22,1,27,21,26,16,19,10,11,14,16
FA,19,22,1,13,10,11,7,7,3,5,13,6
FA,19,28,1,9,9,8,8,3,5,8,9,8
FA,19,0,2,24,22,13,13,15,15,11,17,11
FA,19,21,2,30,25,20,27,28,20,15,28,23
FA,19,21,2,11,9,6,10,7,7,9,9,7
FA,19,22,2,27,23,12,22,15,19,13,17,15
FA,19,22,2,13,12,5,6,6,8,5,6,2
FA,19,28,2,9,9,8,7,8,5,5,6,7
FA,19,0,3,24,20,4,14,20,17,7,13,10
FA,19,21,3,30,24,13,10,21,22,11,14,10
FA,19,21,3,11,8,6,5,4,6,4,8,5
FA,19,22,3,27,23,13,10,16,22,18,15,17
FA,19,22,3,13,11,1,3,4,11,4,7,1
FA,19,28,3,9,7,4,6,9,8,5,8,7
FA,19,0,4,24,10,12,6,21,12,10,18,8
FA,19,21,4,30,17,18,12,29,17,13,20,13
FA,19,21,4,11,7,9,4,10,9,4,6,6
FA,19,22,4,27,18,10,14,23,18,19,21,16
FA,19,22,4,13,9,4,4,7,8,5,3,3
FA,19,28,4,9,9,6,4,8,6,8,8,8
FA,19,0,5,24,18,16,13,14,12,5,11,8
FA,19,21,5,30,25,24,11,21,13,12,8,10
FA,19,21,5,11,6,8,4,9,2,7,5,3
FA,19,22,5,27,19,14,12,15,13,9,13,11
FA,19,22,5,13,8,7,3,5,5,4,3,1
FA,19,28,5,9,7,8,5,9,6,6,7,7
SP,19,0,1,29,28,27,13,22,20,14,27,21
SP,19,42,1,17,14,15,12,13,5,10,14,13
SP,19,41,1,31,29,30,18,16,13,14,28,19
SP,19,41,1,27,21,10,16,17,21,22,24,18
SP,19,42,1,20,16,19,16,16,15,10,20,16
SP,19,41,1,8,6,8,4,5,3,3,7,5
SP,19,41,1,12,10,12,7,8,5,6,11,7
SP,19,42,1,10,8,7,6,7,6,6,8,7
SP,19,0,2,29,28,20,22,21,14,17,24,20
SP,19,42,2,17,14,8,14,11,16,10,10,12
SP,19,41,2,31,28,23,29,20,21,18,25,22
SP,19,41,2,27,19,13,24,23,19,17,23,21
SP,19,42,2,20,19,16,19,17,13,16,17,16
SP,19,41,2,8,8,6,2,5,6,5,8,6
SP,19,41,2,12,12,9,6,9,10,8,9,8
SP,19,42,2,10,8,6,7,7,6,6,4,6
SP,19,0,3,29,25,14,17,24,19,16,15,16
SP,19,42,3,17,13,11,7,13,16,10,11,10
SP,19,41,3,31,24,17,19,24,27,12,16,18
SP,19,41,3,27,23,10,4,16,21,8,14,9
SP,19,42,3,20,16,15,13,14,17,11,13,12
SP,19,41,3,8,5,3,5,4,6,2,4,2
SP,19,41,3,12,10,8,6,8,11,6,10,8
SP,19,42,3,10,10,6,4,3,6,0,5,5
SP,19,0,4,29,17,16,14,27,16,16,17,13
SP,19,42,4,17,10,6,12,18,15,16,11,10
SP,19,41,4,31,23,24,20,29,18,18,21,19
SP,19,41,4,27,18,10,7,20,21,21,18,14
SP,19,42,4,20,16,11,13,17,15,13,18,12
SP,19,41,4,8,7,3,5,8,4,5,7,5
SP,19,41,4,12,12,9,11,12,8,10,11,11
SP,19,42,4,10,6,6,5,7,7,6,7,6
SP,19,0,5,29,23,19,14,22,9,19,13,14
SP,19,42,5,17,14,10,13,10,9,14,12,9
SP,19,41,5,31,23,20,20,24,11,24,13,15
SP,19,41,5,27,22,14,21,21,18,21,6,15
SP,19,42,5,20,19,18,12,19,7,17,17,14
SP,19,41,5,8,8,6,2,8,1,2,4,3
SP,19,41,5,12,12,8,8,10,3,6,8,5
SP,19,42,5,10,6,6,6,2,6,7,5,6
FA,18,0,1,20,15,18,12,9,13,6,18,9
FA,18,41,1,37,33,34,20,20,13,15,29,17
FA,18,41,1,18,15,10,12,9,2,7,18,8
FA,18,42,1,21,17,20,3,17,8,12,20,10
FA,18,42,1,16,11,13,9,10,2,6,12,9
FA,18,48,1,12,9,9,9,7,4,5,12,6
FA,18,0,2,20,18,13,18,14,15,13,15,13
FA,18,41,2,37,34,27,35,27,27,23,31,29
FA,18,41,2,18,16,7,13,14,12,15,16,13
FA,18,42,2,21,16,4,20,16,4,16,12,14
FA,18,42,2,16,14,10,11,12,4,5,6,9
FA,18,48,2,12,11,4,10,8,6,5,9,8
FA,18,0,3,20,17,8,13,18,19,11,11,12
FA,18,41,3,37,22,18,16,32,34,13,19,16
FA,18,41,3,18,14,4,3,5,15,4,6,2
FA,18,42,3,21,14,13,3,9,11,17,7,9
FA,18,42,3,16,13,5,5,7,12,6,10,8
FA,18,48,3,12,7,6,5,8,10,3,10,6
FA,18,0,4,20,13,13,6,20,16,13,13,10
FA,18,41,4,37,21,24,19,35,17,18,22,16
FA,18,41,4,18,16,4,4,16,15,15,12,10
FA,18,42,4,21,13,13,8,14,17,10,18,11
FA,18,42,4,16,10,6,4,11,5,10,6,8
FA,18,48,4,12,10,1,7,10,8,11,7,6
FA,18,0,5,20,16,14,7,16,7,13,9,8
FA,18,41,5,37,32,27,20,23,12,16,26,21
FA,18,41,5,18,14,7,8,15,9,10,5,7
FA,18,42,5,21,20,18,9,14,9,11,14,9
FA,18,42,5,16,10,8,3,2,3,3,1,4
FA,18,48,5,12,11,11,3,10,3,9,8,6
